商品コード,商品名,商品名（前）,サイズ,商品+サイズ,カテゴリ,販売定価,消費税込み,FC卸,FC利益,FC利益率,FC原価率,在庫数,商品画像,期,商品名+サイズ+期,商品名+期,商品名+期 (1),親レコード
,【完成プラン】ネックレス青_60㌢,ネックレス青,ネックレス60㌢,ネックレス青_ネックレス60㌢,アクセサリー,5800,"¥6,380",2064,"¥3,736",64%,36%,,,0.5期,ネックレス青_ネックレス60㌢_0.5期,【完成プラン】ネックレス青_60㌢+0.5期,【完成プラン】ネックレス青_60㌢+0.5期,
,【製造プラン】ネックレス青_60㌢,ネックレス青,ネックレス60㌢,ネックレス青_ネックレス60㌢,アクセサリー,5800,"¥6,380",1964,"¥3,836",66%,34%,,,0.5期,ネックレス青_ネックレス60㌢_0.5期,【製造プラン】ネックレス青_60㌢+0.5期,【製造プラン】ネックレス青_60㌢+0.5期,
,ブレスレット黒_S 内周14㌢,ブレスレット黒,ブレスレットS 内周14㌢,ブレスレット黒_ブレスレットS 内周14㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,ブレスレット黒_ブレスレットS 内周14㌢_0期,ブレスレット黒_S 内周14㌢+0期,ブレスレット黒_S 内周14㌢+0期,
,ブレスレット黒_M 内周15.5㌢,ブレスレット黒,ブレスレットM 内周15.5㌢,ブレスレット黒_ブレスレットM 内周15.5㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,ブレスレット黒_ブレスレットM 内周15.5㌢_0期,ブレスレット黒_M 内周15.5㌢+0期,ブレスレット黒_M 内周15.5㌢+0期,
,ブレスレット黒_L 内周17㌢,ブレスレット黒,ブレスレットL 内周17㌢,ブレスレット黒_ブレスレットL 内周17㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,ブレスレット黒_ブレスレットL 内周17㌢_0期,ブレスレット黒_L 内周17㌢+0期,ブレスレット黒_L 内周17㌢+0期,
,ブレスレット黒_XL 内周18㌢,ブレスレット黒,ブレスレットXL 内周18㌢,ブレスレット黒_ブレスレットXL 内周18㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,ブレスレット黒_ブレスレットXL 内周18㌢_0期,ブレスレット黒_XL 内周18㌢+0期,ブレスレット黒_XL 内周18㌢+0期,
,ブレスレット黒_S 内周14㌢,ブレスレット黒,ブレスレットS 内周14㌢,ブレスレット黒_ブレスレットS 内周14㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,ブレスレット黒_ブレスレットS 内周14㌢_0.5期,ブレスレット黒_S 内周14㌢+0.5期,ブレスレット黒_S 内周14㌢+0.5期,
,ブレスレット黒_M 内周15.5㌢,ブレスレット黒,ブレスレットM 内周15.5㌢,ブレスレット黒_ブレスレットM 内周15.5㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,ブレスレット黒_ブレスレットM 内周15.5㌢_0.5期,ブレスレット黒_M 内周15.5㌢+0.5期,ブレスレット黒_M 内周15.5㌢+0.5期,
,ブレスレット黒_L 内周17㌢,ブレスレット黒,ブレスレットL 内周17㌢,ブレスレット黒_ブレスレットL 内周17㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,ブレスレット黒_ブレスレットL 内周17㌢_0.5期,ブレスレット黒_L 内周17㌢+0.5期,ブレスレット黒_L 内周17㌢+0.5期,
,ブレスレット黒_XL 内周18㌢,ブレスレット黒,ブレスレットXL 内周18㌢,ブレスレット黒_ブレスレットXL 内周18㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,ブレスレット黒_ブレスレットXL 内周18㌢_0.5期,ブレスレット黒_XL 内周18㌢+0.5期,ブレスレット黒_XL 内周18㌢+0.5期,
,アンクレット黒_S 内周18㌢,アンクレット黒,アンクレットS　内周18㌢,アンクレット黒_アンクレットS　内周18㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,アンクレット黒_アンクレットS　内周18㌢_0期,アンクレット黒_S 内周18㌢+0期,アンクレット黒_S 内周18㌢+0期,
,アンクレット黒_M 内周21㌢,アンクレット黒,アンクレットM　内周21㌢,アンクレット黒_アンクレットM　内周21㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,アンクレット黒_アンクレットM　内周21㌢_0期,アンクレット黒_M 内周21㌢+0期,アンクレット黒_M 内周21㌢+0期,
,アンクレット黒_L 内周22㌢,アンクレット黒,アンクレットL　内周22㌢,アンクレット黒_アンクレットL　内周22㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,アンクレット黒_アンクレットL　内周22㌢_0期,アンクレット黒_L 内周22㌢+0期,アンクレット黒_L 内周22㌢+0期,
,アンクレット黒_XL 内周25㌢,アンクレット黒,アンクレットXL　内周25㌢,アンクレット黒_アンクレットXL　内周25㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,アンクレット黒_アンクレットXL　内周25㌢_0期,アンクレット黒_XL 内周25㌢+0期,アンクレット黒_XL 内周25㌢+0期,
,アンクレット黒_S 内周18㌢,アンクレット黒,アンクレットS　内周18㌢,アンクレット黒_アンクレットS　内周18㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,アンクレット黒_アンクレットS　内周18㌢_0.5期,アンクレット黒_S 内周18㌢+0.5期,アンクレット黒_S 内周18㌢+0.5期,
,アンクレット黒_M 内周21㌢,アンクレット黒,アンクレットM　内周21㌢,アンクレット黒_アンクレットM　内周21㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,アンクレット黒_アンクレットM　内周21㌢_0.5期,アンクレット黒_M 内周21㌢+0.5期,アンクレット黒_M 内周21㌢+0.5期,
